Vertices:
  (6, 4.09662, 0.0181156)
  (6, 4.5, 0)
  (6, 4.5, 9)
  (6, 0.0407258, 3.89595)
  (6, 0.112824, 3.49866)
  (6, 3.30283, 8.83783)
  (6, 3.30283, 8.83783)
  (6, 0.112824, 3.49866)
  (6, 3.69649, 8.92768)
  (6, 2.19195, 8.36302)
  (6, 1.85497, 8.14058)
  (6, 0.220246, 5.89058)
  (6, 0.220246, 3.10942)
  (6, 4.5, 9)
  (6, 0.112824, 3.49866)
  (6, 0.112824, 3.49866)
  (6, 4.5, 9)
  (6, 4.09662, 8.98188)
  (6, 0.112824, 3.49866)
  (6, 4.09662, 8.98188)
  (6, 3.69649, 8.92768)
  (6, 2.54752, 0.44564)
  (6, 2.91881, 0.286943)
  (6, 4.5, 9)
  (6, 2.91881, 0.286943)
  (6, 3.30283, 0.162167)
  (6, 4.5, 9)
  (6, 4.5, 9)
  (6, 3.30283, 0.162167)
  (6, 3.69649, 0.0723167)
  (6, 4.5, 9)
  (6, 3.69649, 0.0723167)
  (6, 4.09662, 0.0181156)
  (6, 2.19195, 8.36302)
  (6, 0.220246, 5.89058)
  (6, 2.54752, 8.55436)
  (6, 3.30283, 8.83783)
  (6, 0.112824, 5.50134)
  (6, 0.0407258, 5.10405)
  (6, 0.220246, 3.10942)
  (6, 0.362125, 2.73139)
  (6, 4.5, 9)
  (6, 4.5, 9)
  (6, 0.362125, 2.73139)
  (6, 0.53732, 2.36759)
  (6, 4.5, 9)
  (6, 0.53732, 2.36759)
  (6, 0.74442, 2.02096)
  (6, 0.74442, 2.02096)
  (6, 0.981758, 1.6943)
  (6, 4.5, 9)
  (6, 4.5, 9)
  (6, 0.981758, 1.6943)
  (6, 1.24742, 1.39022)
  (6, 4.5, 9)
  (6, 1.24742, 1.39022)
  (6, 1.53928, 1.11118)
  (6, 1.53928, 1.11118)
  (6, 1.85497, 0.859423)
  (6, 4.5, 9)
  (6, 4.5, 9)
  (6, 1.85497, 0.859423)
  (6, 2.19195, 0.63698)
  (6, 4.5, 9)
  (6, 2.19195, 0.63698)
  (6, 2.54752, 0.44564)
  (6, 0.112824, 5.50134)
  (6, 3.30283, 8.83783)
  (6, 0.220246, 5.89058)
  (6, 0.220246, 5.89058)
  (6, 3.30283, 8.83783)
  (6, 2.91881, 8.71306)
  (6, 0.220246, 5.89058)
  (6, 2.91881, 8.71306)
  (6, 2.54752, 8.55436)
  (6, 1.85497, 8.14058)
  (6, 1.53928, 7.88882)
  (6, 0.220246, 5.89058)
  (6, 0.220246, 5.89058)
  (6, 1.53928, 7.88882)
  (6, 1.24742, 7.60978)
  (6, 0.220246, 5.89058)
  (6, 1.24742, 7.60978)
  (6, 0.981758, 7.3057)
  (6, 0.981758, 7.3057)
  (6, 0.74442, 6.97904)
  (6, 0.220246, 5.89058)
  (6, 0.220246, 5.89058)
  (6, 0.74442, 6.97904)
  (6, 0.53732, 6.63241)
  (6, 0.220246, 5.89058)
  (6, 0.53732, 6.63241)
  (6, 0.362125, 6.26861)
  (6, 0.0407258, 5.10405)
  (6, 0.00453088, 4.70189)
  (6, 3.30283, 8.83783)
  (6, 3.30283, 8.83783)
  (6, 0.00453088, 4.70189)
  (6, 0.00453088, 4.29811)
  (6, 3.30283, 8.83783)
  (6, 0.00453088, 4.29811)
  (6, 0.0407258, 3.89595)
  (6, 4.5, 9)
  (0, 4.5, 9)
  (0, 4.09662, 8.98188)
  (6, 4.5, 9)
  (0, 4.09662, 8.98188)
  (6, 4.09662, 8.98188)
  (6, 4.09662, 8.98188)
  (0, 4.09662, 8.98188)
  (0, 3.69649, 8.92768)
  (6, 4.09662, 8.98188)
  (0, 3.69649, 8.92768)
  (6, 3.69649, 8.92768)
  (6, 3.69649, 8.92768)
  (0, 3.69649, 8.92768)
  (0, 3.30283, 8.83783)
  (6, 3.69649, 8.92768)
  (0, 3.30283, 8.83783)
  (6, 3.30283, 8.83783)
  (6, 3.30283, 8.83783)
  (0, 3.30283, 8.83783)
  (0, 2.91881, 8.71306)
  (6, 3.30283, 8.83783)
  (0, 2.91881, 8.71306)
  (6, 2.91881, 8.71306)
  (6, 2.91881, 8.71306)
  (0, 2.91881, 8.71306)
  (0, 2.54752, 8.55436)
  (6, 2.91881, 8.71306)
  (0, 2.54752, 8.55436)
  (6, 2.54752, 8.55436)
  (6, 2.54752, 8.55436)
  (0, 2.54752, 8.55436)
  (0, 2.19195, 8.36302)
  (6, 2.54752, 8.55436)
  (0, 2.19195, 8.36302)
  (6, 2.19195, 8.36302)
  (6, 2.19195, 8.36302)
  (0, 2.19195, 8.36302)
  (0, 1.85497, 8.14058)
  (6, 2.19195, 8.36302)
  (0, 1.85497, 8.14058)
  (6, 1.85497, 8.14058)
  (6, 1.85497, 8.14058)
  (0, 1.85497, 8.14058)
  (0, 1.53928, 7.88882)
  (6, 1.85497, 8.14058)
  (0, 1.53928, 7.88882)
  (6, 1.53928, 7.88882)
  (6, 1.53928, 7.88882)
  (0, 1.53928, 7.88882)
  (0, 1.24742, 7.60978)
  (6, 1.53928, 7.88882)
  (0, 1.24742, 7.60978)
  (6, 1.24742, 7.60978)
  (6, 1.24742, 7.60978)
  (0, 1.24742, 7.60978)
  (0, 0.981758, 7.3057)
  (6, 1.24742, 7.60978)
  (0, 0.981758, 7.3057)
  (6, 0.981758, 7.3057)
  (6, 0.981758, 7.3057)
  (0, 0.981758, 7.3057)
  (0, 0.74442, 6.97904)
  (6, 0.981758, 7.3057)
  (0, 0.74442, 6.97904)
  (6, 0.74442, 6.97904)
  (6, 0.74442, 6.97904)
  (0, 0.74442, 6.97904)
  (0, 0.53732, 6.63241)
  (6, 0.74442, 6.97904)
  (0, 0.53732, 6.63241)
  (6, 0.53732, 6.63241)
  (6, 0.53732, 6.63241)
  (0, 0.53732, 6.63241)
  (0, 0.362125, 6.26861)
  (6, 0.53732, 6.63241)
  (0, 0.362125, 6.26861)
  (6, 0.362125, 6.26861)
  (6, 0.362125, 6.26861)
  (0, 0.362125, 6.26861)
  (0, 0.220246, 5.89058)
  (6, 0.362125, 6.26861)
  (0, 0.220246, 5.89058)
  (6, 0.220246, 5.89058)
  (6, 0.220246, 5.89058)
  (0, 0.220246, 5.89058)
  (0, 0.112824, 5.50134)
  (6, 0.220246, 5.89058)
  (0, 0.112824, 5.50134)
  (6, 0.112824, 5.50134)
  (6, 0.112824, 5.50134)
  (0, 0.112824, 5.50134)
